"","State","District","Persons","Males","Females","Growth..1991...2001.","Rural","Urban","Scheduled.Caste.population","Percentage...SC.to.total","Number.of.households","Household.size..per.household.","Sex.ratio..females.per.1000.males.","Sex.ratio..0.6.years.","Scheduled.Tribe.population","Percentage.to.total.population..ST.","Persons..literate","Males..Literate","Females..Literate","Persons..literacy.rate","Males..Literatacy.Rate","Females..Literacy.Rate","Total.Educated","Data.without.level","Below.Primary","Primary","Middle","Matric.Higher.Secondary.Diploma","Graduate.and.Above","X0...4.years","X5...14.years","X15...59.years","X60.years.and.above..Incl..A.N.S..","Total.workers","Main.workers","Marginal.workers","Non.workers","SC.1.Name","SC.1.Population","SC.2.Name","SC.2.Population","SC.3.Name","SC.3.Population","Religeon.1.Name","Religeon.1.Population","Religeon.2.Name","Religeon.2.Population","Religeon.3.Name","Religeon.3.Population","ST.1.Name","ST.1.Population","ST.2.Name","ST.2.Population","ST.3.Name","ST.3.Population","Imp.Town.1.Name","Imp.Town.1.Population","Imp.Town.2.Name","Imp.Town.2.Population","Imp.Town.3.Name","Imp.Town.3.Population","Total.Inhabited.Villages","Drinking.water.facilities","Safe.Drinking.water","Electricity..Power.Supply.","Electricity..domestic.","Electricity..Agriculture.","Primary.school","Middle.schools","Secondary.Sr.Secondary.schools","College","Medical.facility","Primary.Health.Centre","Primary.Health.Sub.Centre","Post..telegraph.and.telephone.facility","Bus.services","Paved.approach.road","Mud.approach.road","Permanent.House","Semi.permanent.House","Temporary.House"
"11","Andhra","District Warangal (09), Andhra Pradesh (28)",3246004,1644895,1601109,"14.63","2622792",NA,NA,NA,729110,4,973,955,"457679","14.1",1595745,973527,622218,57.13,68.88,45.09,1595745,62694,428105,418774,174537,411463,99917,288972,776786,1898639,281607,1566237,1277468,288769,1679767,"1.Madiga",406829,"2.Mala",100126,"3.Generic Castes etc.",13069,"1.Hindus",3028537,"2.Muslims",177217,"3.Christians",33354,"1.Sugalis etc.","368446","2.Koya etc.","61909","3.Yerukulas","19774","1.Warangal (M Corp.)",530636,"2.Jangaon (NP)",43996,NA,NA,984,984,984,984,"-","-",971,"587","340",NA,"826","84","521",735,"864","652","321",49.9,32.8,17.2
"12","Andhra","District Khammam (10), Andhra Pradesh (28)",2578927,1305543,1273384,"15.78","2068066",NA,NA,NA,601659,4,975,970,"682617","26.47",1267944,745679,522265,56.89,66.11,47.44,1267944,40606,362116,377075,139285,275834,72950,231625,618242,1533620,195440,1244376,1039322,205054,1334551,"1.Madiga",243899,"2.Mala",166895,"3.Mala Sale etc.",5417,"1.Hindus",2406066,"2.Muslims",137639,"3.Christians",30777,"1.Koya etc.","359582","2.Sugalis etc.","271373","3.Gond etc.","16203","1.Khammam (M)",159544,"2.Kothagudem (M)",79721,"3.Palwancha (M)",69088,1101,1100,1090,1100,"-","-",1000,"417","253",NA,"921","44","395",609,"739","604","475",46.4,12.5,41.1
"13","Andhra","District Srikakulam (11), Andhra Pradesh (28)",2537593,1260020,1277573,"8.93","2258934",NA,NA,NA,582377,4,1014,967,"151249","5.96",1217659,731778,485881,55.31,67.19,43.68,1217659,59831,314768,406889,140816,236099,59134,226342,588640,1522214,200397,1201816,870624,331192,1335777,"1.Mala",156710,"2.Madiga",28114,"3.Relli",21520,"1.Hindus",2513087,"2.Christians",14199,"3.Muslims",7759,"1.Savaras etc.","92165","2.Jatapus","24725","3.Kotia etc.","18918","1.Srikakulam (M)",109905,"2.Palasa Kasibugga (NP)",49899,"3.Amadalavalasa (NP)",37931,1715,1715,1713,1715,"-","-",1645,"511","273",NA,"652","67","426",925,"1009","1153","461",47.8,8.7,43.5
"14","Andhra","District Vizianagaram (12), Andhra Pradesh (28)",2249254,1119541,1129713,"6.36","1836859",NA,NA,NA,514912,4,1009,979,"214839","9.55",997482,605038,392444,51.07,62.37,39.91,997482,41776,256539,345163,107395,191992,54462,198760,502372,1378957,169165,1174164,912375,261789,1075090,"1.Mala",126530,"2.Madiga",51983,"3.Relli",25403,"1.Hindus",2214541,"2.Christians",15495,"3.Muslims",15472,"1.Jatapus","93519","2.Konda Dhoras","51517","3.Savaras etc.","29005","1.Vizianagaram (M)",174651,"2.Bobbili (M)",50096,"3.Parvathipuram (M)",49714,1455,1453,1374,1455,"-","-",1371,"352","194",NA,"649","56","427",903,"732","822","433",49.9,5.2,45
"15","Andhra","District Visakhapatnam (13), Andhra Pradesh (28)",3832336,1930197,1902139,"15.36","2301437",NA,NA,NA,887003,4,985,976,"557572","14.55",2002316,1171082,831234,59.96,69.68,50.12,2002316,75488,417446,577938,211419,535115,184767,324433,850611,2411639,245653,1602761,1305584,297177,2229575,"1.Mala",169650,"2.Madiga",65244,"3.Relli",41791,"1.Hindus",3688280,"2.Muslims",71669,"3.Christians",62227,"1.Konda Dhoras","134109","2.Bagata","130301","3.Kondhs etc.","81755","1.Visakhapatnam (M Corp.)",982904,"2.Gajuwaka (M)",259180,"3.Anakapalle (M)",85486,3108,3091,1746,3098,"-","-",2293,"423","241",NA,"1647","486","323",715,"858","1129","1056",58.8,11.1,30.2
"16","Andhra","District West Godavari (15), Andhra Pradesh (28)",3803517,1910038,1893479,"7.92","3052630",NA,NA,NA,947276,4,991,969,"96659","2.54",2458822,1308598,1150224,73.53,78.05,68.99,2458822,76849,715101,867078,239220,438313,122202,310484,829811,2358503,304719,1678335,1425708,252627,2125182,"1.Mala",416361,"2.Madiga",259811,"3.Adi Andhra",35768,"1.Hindus",3580207,"2.Christians",138363,"3.Muslims",79048,"1.Koya etc.","49528","2.Yerukulas","18152","3.Sugalis etc.","7223","1.Eluru (M)",190062,"2.Bhimavaram (M)",137409,"3.Tadepalligudem (M)",102622,845,844,843,845,"-","-",805,"425","311",NA,"576","66","462",750,"751","720","119",54,11.3,34.7
"17","Andhra","District Krishna (16), Andhra Pradesh (28)",4187841,2117401,2070440,"14.05","2844394",NA,NA,NA,1011891,4,978,963,"107611","2.57",2539974,1386261,1153713,68.85,74.39,63.19,2539974,76918,603868,807042,269230,605480,177102,333263,903289,2618300,332989,1841597,1575433,266164,2346244,"1.Madiga",387577,"2.Mala",340811,"3.Relli",7386,"1.Hindus",3729204,"2.Muslims",265617,"3.Christians",182614,"1.Sugalis etc.","53232","2.Yerukulas","32445","3.Yenadis","15225","1.Vijayawada (M Corp.)",851282,"2.Machilipatnam (M)",179353,"3.Gudivada (M)",113054,948,948,944,948,"-","-",931,"482","281",NA,"642","64","427",838,"870","832","111",50.8,11.5,37.7
"18","Andhra","District Guntur (17), Andhra Pradesh (28)",4465144,2250279,2214865,"7.27","3179384",NA,NA,NA,1077303,4,984,959,"208157","4.66",2455965,1407402,1048563,62.54,71.24,53.74,2455965,94688,579683,804976,241137,559524,175832,357400,954636,2756023,397085,2190299,1869886,320413,2274845,"1.Madiga",403908,"2.Mala",399100,"3.Mala Dasu",5004,"1.Hindus",3834204,"2.Muslims",487839,"3.Christians",131713,"1.Sugalis etc.","76825","2.Yerukulas","68349","3.Yenadis","51088","1.Guntur (M Corp.)",514461,"2.Tenali (M)",153756,"3.Narasaraopet (M)",93321,694,694,693,694,"-","-",690,"423","337",NA,"584","71","475",664,"666","628","66",53.4,15.2,31.4
"19","Andhra","District Prakasam (18), Andhra Pradesh (28)",3059423,1552332,1507091,"10.72","2592055",NA,NA,NA,702559,4,971,954,"118241","3.86",1532126,938482,593644,57.38,69.35,45.08,1532126,49645,391396,512915,143921,341687,92527,259093,689994,1833665,276671,1537544,1306772,230772,1521879,"1.Madiga",343177,"2.Mala",298782,"3.Adi Andhra",4632,"1.Hindus",2825681,"2.Muslims",195637,"3.Christians",32674,"1.Yenadis","61011","2.Yerukulas","29042","3.Sugalis etc.","16290","1.Ongole (M)",150471,"2.Chirala (M)",84970,"3.Markapur (M)",58462,992,992,991,992,"-","-",941,"417","318",NA,"540","74","410",759,"879","909","76",59.8,16.4,23.8
"20","Andhra","District Nellore (19), Andhra Pradesh (28)",2668564,1344935,1323629,"11.18","2069521",NA,NA,NA,640942,4,984,954,"242257","9.08",1522866,866975,655891,65.08,73.67,56.38,1522866,73132,375380,515113,149694,316461,93056,223622,562645,1663646,218651,1211702,985312,226390,1456862,"1.Mala",373253,"2.Madiga",167434,"3.Arundhatiya",31042,"1.Hindus",2382701,"2.Muslims",248676,"3.Christians",31593,"1.Yenadis","213187","2.Yerukulas","24289","3.Generic Tribes etc.","3253","1.Nellore (M)",378428,"2.Kavali (M)",79682,"3.Gudur (M)",68782,1110,1110,1099,1110,"-","-",1053,"397","266",NA,"520","65","457",842,"981","1102","6",57.3,10.5,32.2
"21","Andhra","District Cuddapah (20), Andhra Pradesh (28)",2601797,1318093,1283704,"13.48","2014044",NA,NA,NA,585987,4,974,950,"61371","2.36",1420752,867054,553698,62.83,75.83,49.54,1420752,61409,315821,482912,145747,323102,91650,225438,586524,1579759,210076,1165566,931847,233719,1436231,"1.Mala",212639,"2.Madiga",186070,"3.Adi Andhra",7475,"1.Hindus",2181572,"2.Muslims",386900,"3.Christians",28978,"1.Yenadis","23570","2.Yerukulas","18399","3.Sugalis etc.","18257","1.Proddatur (M)",150309,"2.Cuddapah (M)",126505,"3.Rayachoti (CT)",72297,876,875,873,875,"-","-",853,"342","245",NA,"432","74","249",671,"773","712","158",50.1,28.6,21.2
"22","Andhra","District Kurnool (21), Andhra Pradesh (28)",3529494,1796214,1733280,"18.14","2712030",NA,NA,NA,699191,5,965,958,"69635","1.97",1592172,1003659,588513,53.22,65.96,40.03,1592172,64483,396608,526192,139903,363649,101204,343493,936793,2015569,233639,1745220,1500598,244622,1784274,"1.Madiga",404992,"2.Mala",210457,"3.Mala Dasari",4114,"1.Hindus",2910182,"2.Muslims",572404,"3.Christians",40581,"1.Sugalis etc.","30235","2.Yerukulas","28666","3.Chenchu etc.","7282","1.Kurnool (M Corp.)",269122,"2.Adoni (M)",157305,"3.Nandyal (M)",152676,884,884,884,884,"-","-",877,"398","224",NA,"634","80","395",798,"782","705","179",32,51.8,16.2
"23","Andhra","District Anantapur (22), Andhra Pradesh (28)",3640478,1859588,1780890,"14.31","2720915",NA,NA,NA,779052,5,958,958,"127161","3.49",1774088,1104042,670046,56.13,68.38,43.34,1774088,46809,398372,667978,177709,380349,102827,311720,878170,2175541,275047,1777536,1471218,306318,1862942,"1.Madiga",435746,"2.Mala",64747,"3.Generic Castes etc.",8038,"1.Hindus",3225156,"2.Muslims",389201,"3.Christians",20770,"1.Sugalis etc.","87727","2.Yerukulas","36279","3.Yenadis","1133","1.Anantapur (M)",218808,"2.Hindupur (M)",125074,"3.Guntakal (M)",117103,925,925,925,925,"-","-",900,"406","291",NA,"595","72","452",807,"852","767","155",55.2,30.7,13.8
"24","Andhra","District Chittoor (23), Andhra Pradesh (28)",3745875,1889690,1856185,"14.54","2934845",NA,NA,NA,848607,4,982,954,"128085","3.42",2176990,1273940,903050,66.77,77.62,55.78,2176990,78776,484531,769687,240584,466832,136183,334295,791554,2287032,332994,1752979,1462690,290289,1992896,"1.Mala",329648,"2.Adi Dravida",192121,"3.Madiga",144520,"1.Hindus",3368878,"2.Muslims",342965,"3.Christians",28337,"1.Yenadis","81773","2.Yerukulas","23161","3.Sugalis etc.","22274","1.Tirupati (M)",228202,"2.Chittoor (M)",152654,"3.Madanapalle (M)",99967,1480,1479,1478,1480,"-","-",1365,"597","346",NA,"683","90","545",1101,"1222","1096","378",58.6,8.1,33.3
"25","ArunachalPradesh","District Tawang (01), Arunachal Pradesh (12)",38924,21846,17078,"22.69","30548","8376",NA,NA,8294,5,782,948,"29191","74.99",15337,11160,4177,47.32,60.32,30.04,15337,496,3835,3146,2535,4535,785,4416,9106,22814,2588,21727,18134,3593,17197,"1.Generic Castes etc.",58,"2.Muchi etc.",31,"3.Kaibartta etc.",12,"1.Buddhists",29083,"2.Hindus",8440,"3.Sikhs",420,"1.Monpa","21247","2.Tawang Monpa","7162","3.Adi","150","1.Tawang (CT)",8376,NA,NA,NA,NA,180,180,159,173,"172","1",63,"13","2","-","23","9","-",54,"59","57","52",51.1,36.8,12.1
"26","ArunachalPradesh","District West Kameng (02), Arunachal Pradesh (12)",74599,42542,32057,"32.21","67906","6693",NA,NA,15637,5,754,955,"36951","49.53",37687,25386,12301,60.76,70.29,47.46,37687,833,10517,8778,5725,9725,2108,8570,18755,44149,3125,34362,28850,5512,40237,"1.Bansphor",75,"2.Generic Castes etc.",63,"3.Dhupi etc.",54,"1.Buddhists",33104,"2.Hindus",32125,"3.Others",4750,"1.Monpa","19596","2.Miji","4354","3.Aka","3879","1.Bomdila (CT)",6693,NA,NA,NA,NA,213,213,211,168,"168","-",97,"22","11","-","47","7","7",15,"41","43","72",32.7,33.8,33.4
"27","ArunachalPradesh","District East Kameng (03), Arunachal Pradesh (12)",57179,28802,28377,"13.24","42177","15002",NA,NA,12018,5,985,1035,"49585","86.72",18338,11978,6360,40.64,52.36,28.59,18338,290,6995,4524,2962,2783,783,8003,16633,30280,2263,25949,23543,2406,31230,"1.Namasudra",55,"2.Muchi etc.",13,"3.Bansphor",10,"1.Others",31538,"2.Christians",14550,"3.Hindus",9943,"1.Dafla","16644","2.Nissi","15186","3.Bangni","7299","1.Seppa (CT)",15002,NA,NA,NA,NA,310,309,284,44,"43","-",128,"34","6","-","89","6","5",11,"40","137","4",10.7,26,63.4
"28","ArunachalPradesh","District Papum Pare * (04), Arunachal Pradesh (12)",122003,64184,57819,"67.21","59961","62042",NA,NA,24636,5,901,977,"69007","56.56",69982,41367,28615,69.32,77.27,60.35,69982,1189,15664,15056,11464,19892,6715,14134,34120,70794,2955,44132,38401,5731,77871,"1.Namasudra",672,"2.Dhupi etc.",171,"3.Kaibartta etc.",123,"1.Hindus",51026,"2.Christians",36574,"3.Others",25395,"1.Nissi","25175","2.Dafla","18192","3.Apatani","6318","1.Itanagar (CT)",35022,"2.Naharlagun (CT)",27020,NA,NA,267,267,215,60,"48","12",69,"25","8","1","17","3","9",11,"21","103","87",41.1,31.6,27.3
"29","ArunachalPradesh","District Lower Subansiri (05), Arunachal Pradesh (12)",98244,49542,48702,"17.37","85860","12384",NA,NA,19456,5,983,1004,"88512","90.09",35933,21647,14286,44.79,53.37,36.01,35933,1292,10147,9338,6443,7104,1605,11707,28668,53748,4121,45405,37473,7932,52839,"1.Kaibartta etc.",48,"2.Generic Castes etc.",47,"3.Dhupi etc.",27,"1.Others",62481,"2.Christians",24078,"3.Hindus",10493,"1.Nissi","42282","2.Apatani","18233","3.Nishang","11989","1.Ziro (CT)",12384,NA,NA,NA,NA,652,652,383,175,"169","-",147,"75","22","-","74","16","38",15,"57","146","219",15.6,21.1,63.3
"30","ArunachalPradesh","District Upper Subansiri (06), Arunachal Pradesh (12)",55346,28240,27106,"9.8","39590","15756",NA,NA,10862,5,960,984,"49552","89.53",22379,13547,8832,50.35,59.55,40.7,22379,236,7953,6037,3525,3732,896,7344,16233,29443,2326,22415,21067,1348,32931,"1.Brittial-Bania etc.",43,"2.Mehtar etc.",14,"3.Kaibartta etc.",11,"1.Others",45318,"2.Hindus",5572,"3.Christians",3240,"1.Tagin","36459","2.Galong","6490","3.Nissi","3889","1.Daporijo (CT)",15756,NA,NA,NA,NA,398,398,252,77,"77","-",141,"33","10","-","26","2","17",9,"58","55","153",11.1,8.1,80.4
"31","ArunachalPradesh","District West Siang (07), Arunachal Pradesh (12)",103918,54349,49569,"15.17","82806","21112",NA,NA,18251,6,912,949,"84922","81.72",51216,30128,21088,59.47,66.63,51.56,51216,1052,16056,14264,8677,8702,2463,11446,30937,56121,5414,43085,36843,6242,60833,"1.Dhupi etc.",105,"2.Mehtar etc.",66,"3.Brittial-Bania etc.",44,"1.Others",61183,"2.Christians",20122,"3.Hindus",17711,"1.Adi Gallong","39758","2.Galong","14379","3.Adi","8613","1.Along (CT)",17033,"2.Basar (CT)",4079,NA,NA,398,398,348,115,"108","-",221,"66","19","1","48","12","7",22,"86","105","209",15.3,9.2,75.5
"32","ArunachalPradesh","District East Siang (08), Arunachal Pradesh (12)",87397,45265,42132,"21.66","65432","21965",NA,NA,16133,5,931,957,"60420","69.13",43495,25455,18040,60.73,68.42,52.42,43495,634,11850,12096,7375,8782,2758,10521,24270,47818,4788,33552,29183,4369,53845,"1.Dhupi etc.",98,"2.Brittial-Bania etc.",76,"3.Generic Castes etc.",64,"1.Others",43944,"2.Hindus",26352,"3.Christians",13406,"1.Adi Minyong","21544","2.Abor","11238","3.Adi","6580","1.Pasighat (CT)",21965,NA,NA,NA,NA,144,144,141,120,"119","1",116,"31","18","-","21","9","8",29,"65","70","57",19.1,10,70.4
"33","ArunachalPradesh","District Upper Siang * (09), Arunachal Pradesh (12)",33363,18057,15306,"19.32","33363","-",NA,NA,6849,5,848,1010,"26094","78.21",13424,8733,4691,49.78,58.71,38.79,13424,234,3821,3744,2481,2497,631,4364,8367,18019,2613,17105,15395,1710,16258,"1.Sutradhar",21,"2.Mahara",18,"3.Generic Castes etc.",17,"1.Others",19477,"2.Hindus",6116,"3.Christians",4291,"1.Adi","9707","2.Pangi","3506","3.Adi Minyong","2404","No Urban Area",NA,NA,NA,NA,NA,92,92,82,42,"42","-",62,"15","9","-","11","3","6",9,"29","38","74",15.9,20.7,63.4
"34","ArunachalPradesh","District Dibang Valley (10), Arunachal Pradesh (12)",57720,31442,26278,"33.61","47613","10107",NA,NA,11932,5,836,945,"26832","46.49",27854,17533,10321,58.89,67.21,48.66,27854,399,8928,7395,4581,5211,1339,6986,16201,32157,2376,25700,22086,3614,32020,"1.Namasudra",219,"2.Dhupi etc.",70,"3.Mehtar etc.",64,"1.Hindus",31700,"2.Others",13992,"3.Christians",6134,"1.Idu/Chulikata Mishmi","9076","2.Adi Padam","4752","3.Abor","3237","1.Roing (CT)",10107,NA,NA,NA,NA,213,213,177,70,"68","-",55,"24","12","-","25","8","6",25,"53","65","74",13.4,21.3,65.1
"35","ArunachalPradesh","District Lohit (11), Arunachal Pradesh (12)",143527,77314,66213,"30.78","116765","26762",NA,NA,28537,5,856,933,"54801","38.18",64445,41102,23343,56.07,65.74,44.54,64445,981,21909,17174,11292,10511,2576,19439,39591,78127,6370,60351,51049,9302,83176,"1.Kaibartta etc.",993,"2.Jalkeot",312,"3.Namasudra",103,"1.Hindus",103151,"2.Buddhists",22935,"3.Christians",8253,"1.Mishmi","22944","2.Khampti","11503","3.Mishing/Miri","6512","1.Tezu (CT)",15015,"2.Namsai (CT)",11747,NA,NA,493,493,475,184,"184","-",160,"36","15","-","40","7","28",54,"105","197","107",15.8,10.8,73.3
"36","ArunachalPradesh","District Changlang (12), Arunachal Pradesh (12)",125422,65821,59601,"30.84","113034","12388",NA,NA,24012,5,906,954,"45351","36.16",51291,32789,18502,51.32,62.13,39.23,51291,1311,18470,13700,8179,7679,1952,17342,34197,67584,6299,60045,49176,10869,65377,"1.Brittial-Bania etc.",129,"2.Namasudra",56,"3.Dhupi etc.",42,"1.Hindus",50183,"2.Buddhists",42744,"3.Christians",21931,"1.Tangsa","20431","2.Any Naga Tribes etc.","3940","3.Singpho","3412","1.Changlang (CT)",6469,"2.Jairampur (CT)",5919,NA,NA,336,336,307,277,"258","1",179,"47","25","1","64","7","11",45,"64","195","133",14.9,11.1,73.9
